artoria pendragon (fate/grand order), fate/grand order
artoria pendragon alter (fate/grand order), fate/grand order
artoria pendragon lily (fate/grand order), fate/grand order
artoria pendragon lancer (fate/grand order), fate/grand order
artoria pendragon lancer alter (fate/grand order), fate/grand order
artoria pendragon ruler (fate/grand order), fate/grand order
artoria caster (fate/grand order), fate/grand order
morgan le fay (fate/grand order), fate/grand order
mordred (fate/grand order), fate/grand order
nero claudius (fate/grand order), fate/grand order
nero claudius bride (fate/grand order), fate/grand order
jeanne d'arc (fate/grand order), fate/grand order
jeanne d'arc alter (fate/grand order), fate/grand order
jeanne d'arc alter santa lily (fate/grand order), fate/grand order
marie antoinette (fate/grand order), fate/grand order
martha (fate/grand order), fate/grand order
boudica (fate/grand order), fate/grand order
medea (fate/grand order), fate/grand order
medusa (fate/grand order), fate/grand order
gorgon (fate/grand order), fate/grand order
euryale (fate/grand order), fate/grand order
stheno (fate/grand order), fate/grand order
atalanta (fate/grand order), fate/grand order
atalanta alter (fate/grand order), fate/grand order
scathach (fate/grand order), fate/grand order
scathach-skadi (fate/grand order), fate/grand order
tamamo no mae (fate/grand order), fate/grand order
tamamo cat (fate/grand order), fate/grand order
kiyohime (fate/grand order), fate/grand order
elisabeth bathory (fate/grand order), fate/grand order
elisabeth bathory brave (fate/grand order), fate/grand order
carmilla (fate/grand order), fate/grand order
minamoto no raikou (fate/grand order), fate/grand order
ushiwakamaru (fate/grand order), fate/grand order
shuten douji (fate/grand order), fate/grand order
ibaraki douji (fate/grand order), fate/grand order
okita souji (fate/grand order), fate/grand order
okita souji alter (fate/grand order), fate/grand order
musashi miyamoto (fate/grand order), fate/grand order
tomoe gozen (fate/grand order), fate/grand order
sei shonagon (fate/grand order), fate/grand order
murasaki shikibu (fate/grand order), fate/grand order
nitocris (fate/grand order), fate/grand order
cleopatra (fate/grand order), fate/grand order
queen of sheba (fate/grand order), fate/grand order
zenobia (fate/grand order), fate/grand order
francis drake (fate/grand order), fate/grand order
florence nightingale (fate/grand order), fate/grand order
anastasia nikolaevna romanova (fate/grand order), fate/grand order
charlotte corday (fate/grand order), fate/grand order
europa (fate/grand order), fate/grand order
quetzalcoatl (fate/grand order), fate/grand order
ishtar (fate/grand order), fate/grand order
ereshkigal (fate/grand order), fate/grand order
space ishtar (fate/grand order), fate/grand order
parvati (fate/grand order), fate/grand order
kama (fate/grand order), fate/grand order
kama avenger (fate/grand order), fate/grand order
sessyoin kiara (fate/grand order), fate/grand order
bb (fate/grand order), fate/grand order
passionlip (fate/grand order), fate/grand order
meltryllis (fate/grand order), fate/grand order
kingprotea (fate/grand order), fate/grand order
sitonai (fate/grand order), fate/grand order
illyasviel von einzbern (fate/grand order), fate/grand order
miyu edelfelt (fate/grand order), fate/grand order
abigail williams (fate/grand order), fate/grand order
katsushika hokusai (fate/grand order), fate/grand order
yu mei-ren (fate/grand order), fate/grand order
lakshmibai (fate/grand order), fate/grand order
osakabehime (fate/grand order), fate/grand order
penthesilea (fate/grand order), fate/grand order
semiramis (fate/grand order), fate/grand order
barghest (fate/grand order), fate/grand order
baobhan sith (fate/grand order), fate/grand order
melusine (fate/grand order), fate/grand order
britomart (fate/grand order), fate/grand order
durga (fate/grand order), fate/grand order
kali (fate/grand order), fate/grand order
tiamat (fate/grand order), fate/grand order
